SMILES,ID,Function,Error
OC1=CC(=CC(O)=C1O)C(=O)OC2=CC(=CC(O)=C2O)C(=O)OC[C@H]3O[C@@H](OC(=O)C4=CC(O)=C(O)C(OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4)[C@H](OC(=O)C6=CC(O)=C(O)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)=C6)[C@@H](OC(=O)C8=CC(O)=C(O)C(OC(=O)C9=CC(O)=C(O)C(O)=C9)=C8)[C@@H]3OC(=O)C%10=CC(O)=C(O)C(OC(=O)C%11=CC(O)=C(O)C(O)=C%11)=C%10,NCGC00095101-01,1,Conformer Generation Failed
[H][C@](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@@]3([H])O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]3O)C4=CN=CN4)([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCCNC(N)=N,NCGC00096040-01,1,Conformer Generation Failed
[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](OC(=O)OCC)C3=CC=NC4=CC=C(OC)C=C34,NCGC00095256-01,1,Conformer Generation Failed
CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]5C[C@](C)(N)C(O)[C@H](C)O5)C6=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]7C8=CC=C(O)C(=C8)C9=C(C=C(O)C=C9O)[C@@H](NC(=O)[C@@H](NC7=O)[C@H](O)C%10=CC(Cl)=C(O6)C=C%10)C(O)=O)C(Cl)=C2,NCGC00181797-01,1,Conformer Generation Failed
[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@]([H])(C[C@]7(CC[C@H](C)[C@]([H])(O7)[C@@H](C)CC)O6)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,NCGC00163233-01,0,Conformer Generation Failed
[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]6([H])C[C@@]([H])(C[C@]7(O6)O[C@]([H])(C(C)CC)[C@@H](C)C=C7)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,NCGC00181798-01,0,Conformer Generation Failed
[H][C@@]4(C[C@@H](C)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O1)OC)CC[C@@H](OCCO)[C@@H](C4)OC,NCGC00167512-01,0,Conformer Generation Failed
[H][C@]12CC(Cl)[C@H](Cl)[C@@]1([H])[C@]3(Cl)C(Cl)=C(Cl)[C@]2(Cl)C3(Cl)Cl,NCGC00254266-01,0,Conformer Generation Failed
[H][C@](C)(CC)[C@@]1([H])O[C@@]2(C[C@@H]3C[C@@]([H])(C\C=C(C)\[C@@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C6/CO[C@]7([H])[C@H](O)C(C)=C[C@@]([H])(C(=O)O3)[C@]67O)O2)C=C[C@@H]1C,NCGC00254744-01,0,Conformer Generation Failed
[H][C@]12[C@H]3C[C@H](C=C3)[C@@]1([H])[C@@]4(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C4(Cl)Cl,NCGC00259621-01,0,Conformer Generation Failed
CC(CNC(=O)CCC1(C)C(CC(N)=O)C2N([Co+]C[C@H]3O[C@H]([C@H](O)[C@@H]3O)N4C=NC5=C4N=CN=C5N)C1=C(C)C6=NC(=CC7=NC(=C(C)C8=NC2(C)C(C)(CC(N)=O)C8CCC(N)=O)C(C)(CC(N)=O)C7CCC(N)=O)C(C)(C)C6CCC(N)=O)OP([O-])(=O)O[C@@H]9[C@@H](CO)O[C@@H]([C@@H]9O)N%10C=NC%11=C%10C=C(C)C(C)=C%11,NCGC00095993-01,0,Conformer Generation Failed
OC1=CC(=CC(O)=C1O)C(=O)OC2=CC(=CC(O)=C2O)C(=O)OC[C@H]3O[C@@H](OC(=O)C4=CC(O)=C(O)C(OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4)[C@H](OC(=O)C6=CC(O)=C(O)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)=C6)[C@@H](OC(=O)C8=CC(O)=C(O)C(OC(=O)C9=CC(O)=C(O)C(O)=C9)=C8)[C@@H]3OC(=O)C%10=CC(O)=C(O)C(OC(=O)C%11=CC(O)=C(O)C(O)=C%11)=C%10,NCGC00253925-01,0,Conformer Generation Failed
[H][C@@]%14(O[C@H]1[C@@H]2NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@@]4([H])NC(=O)[C@@H](CC5=CC=C(OC6=C(O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7NC(=O)CC\C=C/CCCCC)C(OC8=C(Cl)C=C1C=C8)=CC3=C6)C(Cl)=C5)NC(=O)[C@@H](N)C9=CC(OC%10=CC4=CC(O)=C%10)=C(O)C=C9)C%11=CC(=C(O)C=C%11)C%12=C(C=C(O)C=C%12O[C@H]%13O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%13O)[C@@H](NC2=O)C(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%14NC(C)=O,NCGC00181348-01,0,Conformer Generation Failed
CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,NCGC00166209-01,0,Conformer Generation Failed
CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,NCGC00181029-01,0,Conformer Generation Failed
CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,NCGC00160468-01,0,Conformer Generation Failed
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@H](CC2(C)C)OC(=O)CCCCCCCCCCCCCCC)C(C)(C)C1,NCGC00182606-01,0,Conformer Generation Failed
CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC4=CC=CC=C4)C(N)=O,NCGC00183363-01,0,Conformer Generation Failed
[Cl-][Pt]1([Cl-])NCCN1,NCGC00186461-01,0,Invalid SMILES
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,NCGC00167568-01,0,Conformer Generation Failed
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,NCGC00091285-01,0,Conformer Generation Failed
[H][C@](C)(CC)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSC(=N1)[C@H](N)[C@H](C)CC)C(=O)N[C@@H]2CCCCNC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](CC3=CN=CN3)NC(=O)[C@@H](CC4=CC=CC=C4)NC(=O)[C@H](NC(=O)[C@@H](CCCN)NC2=O)[C@]([H])(C)CC,NCGC00016582-01,0,Conformer Generation Failed
CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)COC(=O)CCC4=CC(=C(O)C(=C4)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,NCGC00255211-01,0,Conformer Generation Failed
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC(=O)\C=C\C5=CC(O)=C(O)C=C5)[C@H](O)[C@H](O)[C@H]1O,NCGC00258498-01,0,Conformer Generation Failed
Cl[Dy](Cl)Cl,NCGC00254723-01,0,Conformer Generation Failed
[H][C@]12[C@@H]3C[C@H](C=C3)[C@@]1([H])[C@@]4(Cl)C(Cl)=C(Cl)[C@]2(Cl)C4(Cl)Cl,NCGC00255719-01,0,Conformer Generation Failed
CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(OC(=O)CCC)C(=O)OCCCCCC,NCGC00254465-01,0,Conformer Generation Failed
CC(C)CCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCC(C)C)C(=C1)C(=O)OCCCCCCC(C)C,NCGC00254314-01,0,Conformer Generation Failed
[H][C@@]12CC[C@]([H])(C1)[C@@]3([H])CCC[C@@]23[H],NCGC00260317-01,0,Conformer Generation Failed
CC(C)CCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC(C)C)C(=C1)C(=O)OCCCCCCCC(C)C,NCGC00256922-01,0,Conformer Generation Failed
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,NCGC00254572-01,0,Conformer Generation Failed
[H][C@@]12C[C@@]3(CC1=C)CC[C@]4([H])[C@@](C)(CCC[C@]4(C)[C@]3([H])C[C@@]2([H])O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(=O)O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O,NCGC00258119-01,0,Conformer Generation Failed
